PlayerID,Player_Name,Season,Routes_Run,Receptions,Rec_Yards,Target_Share,Touchdowns,YAC,ADoT,Catch_Pct,Total_EPA,Targets_Per_Route_Run,YPRR
TE0032,Logan Thomas,2023,515,55,496,13.64%,4,229,6.04,70.51%,28.06,0.15,0.96
TE0009,Tyler Higbee,2023,456,47,495,14.20%,2,246,5.80,67.14%,36.43,0.15,1.09
TE0026,Cade Otton,2023,562,47,455,12.18%,4,223,6.75,70.15%,31.14,0.12,0.81
TE0015,Hunter Henry,2023,369,42,419,13.35%,6,78,8.82,68.85%,47.72,0.17,1.14
TE0018,Noah Fant,2023,321,32,414,7.86%,0,177,6.93,74.42%,23.29,0.13,1.29
TE0028,Isaiah Likely,2023,280,30,411,8.40%,5,216,6.23,75%,41.10,0.14,1.47
TE0011,Gerald Everett,2023,320,51,411,12.96%,3,275,4.03,72.86%,29.04,0.22,1.28
TE0035,Kylen Granson,2023,293,30,368,10.29%,1,128,8.04,60%,35.72,0.17,1.26
TE0016,Juwan Johnson,2023,312,37,368,12.97%,4,145,7.53,62.71%,29.75,0.19,1.18
TE0061,Durham Smythe,2023,400,35,366,8.38%,0,139,6.60,81.40%,29.76,0.11,0.92
TE0064,Tucker Kraft,2023,296,31,355,7.13%,2,232,3.90,77.50%,25.28,0.14,1.20
TE0065,Luke Musgrave,2023,275,34,352,12.71%,1,169,7.48,73.91%,20.86,0.17,1.28
TE0059,Tanner Hudson,2023,225,39,352,12.17%,1,148,5.38,78%,30.77,0.22,1.56
TE0006,Pat Freiermuth,2023,277,32,308,13.86%,2,145,6.62,68.09%,27.84,0.17,1.11
TE0036,Noah Gray,2023,315,28,305,6.84%,2,140,6.59,68.29%,15.97,0.13,0.97
TE0066,Michael Mayer,2023,276,27,304,9.11%,2,164,5.68,67.50%,32.16,0.14,1.10
TE0067,Taysom Hill,2023,225,33,291,7.18%,2,133,5.23,82.50%,21.82,0.18,1.29
TE0060,Donald Parham,2023,246,27,285,7.98%,4,126,7.46,65.85%,35.19,0.17,1.16
TE0037,Daniel Bellinger,2023,282,25,255,5.77%,0,134,4.64,89.29%,10.36,0.10,0.90
TE0033,Colby Parkinson,2023,226,25,247,6.22%,2,86,6.41,73.53%,15.56,0.15,1.09
TE0029,Mike Gesicki,2023,340,29,244,8.32%,2,88,8.51,64.44%,20.27,0.13,0.72
TE0021,Austin Hooper,2023,269,25,234,5.84%,0,142,4.19,80.65%,14.76,0.12,0.87
TE0068,Brevin Jordan,2023,138,17,219,4.52%,2,124,5.48,80.95%,19.84,0.15,1.59
TE0052,Josh Oliver,2023,140,22,213,4.62%,2,162,2.57,78.57%,7.35,0.20,1.52
TE0069,Pharaoh Brown,2023,112,13,208,2.77%,1,121,6.93,86.67%,9.61,0.13,1.86
TE0070,Will Mallory,2023,127,18,207,6.62%,0,89,7.81,69.23%,18.14,0.20,1.63
TE0043,Adam Trautman,2023,351,22,204,7.34%,3,98,6.46,62.86%,16.03,0.10,0.58
TE0048,Tommy Tremble,2023,250,23,194,6.30%,3,95,6.38,71.88%,16.36,0.13,0.78
TE0022,Foster Moreau,2023,155,21,193,4.93%,1,96,4.88,84%,12.28,0.16,1.25
TE0025,Zach Ertz,2023,186,27,187,19.37%,1,46,7.72,62.79%,8.66,0.23,1.01
TE0014,Dawson Knox,2023,241,22,186,9.70%,2,96,7.03,61.11%,13.47,0.15,0.77
TE0023,Hayden Hurst,2023,223,18,184,9.94%,1,67,7.56,56.25%,13.75,0.14,0.83
TE0031,Will Dissly,2023,144,17,172,4.30%,1,120,2.82,77.27%,11.82,0.15,1.19
TE0055,Johnny Mundt,2023,116,17,172,3.80%,1,94,4.96,73.91%,12.21,0.20,1.48
TE0050,Connor Heyward,2023,199,23,167,7.02%,0,94,5.15,67.65%,6.96,0.17,0.84
TE0071,Drew Sample,2023,185,22,163,4.56%,2,173,1.07,81.48%,7.06,0.15,0.88
TE0072,Elijah Higgins,2023,91,14,163,5.41%,1,67,6.74,73.68%,13.64,0.21,1.79
TE0045,Mo Alie-Cox,2023,150,13,161,4.03%,3,80,10.09,59.09%,15.66,0.15,1.07
TE0073,Stone Smartt,2023,158,11,155,3.66%,1,56,8.57,52.38%,13.17,0.13,0.98
TE0074,Luke Farrell,2023,110,13,155,2.47%,0,96,4.73,86.67%,9.07,0.14,1.41
TE0075,Jeremy Ruckert,2023,134,16,151,4.39%,0,51,6.32,72.73%,9.65,0.16,1.13
TE0076,John Bates,2023,204,19,151,4.66%,0,65,6.25,67.86%,1.13,0.14,0.74
TE0077,Andrew Ogletree,2023,129,9,147,5.17%,2,30,9.95,42.86%,17.70,0.16,1.14
TE0017,Jordan Akins,2023,115,15,132,3.85%,0,58,4.74,65.22%,5.79,0.20,1.15
TE0078,Stephen Sullivan,2023,127,12,125,7.62%,0,8,10.63,50%,10.95,0.19,0.98
TE0079,Cole Turner,2023,82,11,120,3.57%,0,50,6.80,73.33%,4.33,0.18,1.46
TE0046,Irv Smith,2023,229,18,115,5.76%,1,66,4.04,69.23%,-4.42,0.11,0.50
TE0019,Robert Tonyan,2023,167,11,112,3.56%,0,57,8.53,64.71%,6.79,0.10,0.67
TE0051,MyCole Pruitt,2023,62,9,110,2.36%,1,51,5.17,75%,10.64,0.19,1.77
TE0080,Davis Allen,2023,74,10,95,1.98%,1,74,2.18,90.91%,11.10,0.15,1.28
TE0081,Lucas Krull,2023,130,8,95,6.60%,1,50,9.50,57.14%,8.86,0.11,0.73
TE0082,Josh Whyle,2023,58,9,94,4.42%,1,40,9.73,60%,9.55,0.26,1.62
TE0083,Geoff Swaim,2023,100,10,94,2.48%,0,30,5.45,90.91%,7.39,0.11,0.94
TE0042,Brock Wright,2023,141,13,91,2.97%,1,49,2.86,92.86%,5.82,0.10,0.65
TE0084,Charlie Kolar,2023,58,7,87,2.22%,1,17,9.78,77.78%,9,0.16,1.50
TE0040,Harrison Bryant,2023,147,13,81,3.35%,3,35,4.05,65%,10.37,0.14,0.55
TE0085,Brycen Hopkins,2023,50,5,78,1.43%,0,32,9.43,71.43%,4.96,0.14,1.56
TE0086,Luke Schoonmaker,2023,104,8,65,2.48%,2,27,5.40,53.33%,1.59,0.14,0.63
TE0087,Josiah Deguara,2023,76,8,65,1.61%,0,39,3.25,100%,1.16,0.11,0.86
TE0088,Darnell Washington,2023,140,7,61,2.07%,0,50,1.10,70%,3.73,0.07,0.44
TE0041,C.J. Uzomah,2023,103,8,58,3.09%,1,33,5.33,66.67%,0.13,0.12,0.56
TE0089,Payne Durham,2023,51,5,58,1.62%,0,16,9.86,71.43%,4.90,0.14,1.14
TE0056,Mitchell Wilcox,2023,68,9,56,2.03%,0,48,1,75%,2.33,0.18,0.82
TE0044,Ian Thomas,2023,78,5,56,2.41%,0,33,8.67,55.56%,2.06,0.12,0.72
TE0090,Julian Hill,2023,109,6,48,1.89%,0,30,3.22,66.67%,-1.39,0.08,0.44
TE0091,Grant Calcaterra,2023,46,4,39,0.84%,0,32,1.75,100%,3.08,0.09,0.85
