PlayerID,Player_Name,Season,Routes_Run,Receptions,Rec_Yards,Target_Share,Touchdowns,YAC,ADoT,Catch_Pct,Total_EPA,Targets_Per_Route_Run,YPRR
TE0005,George Kittle,2023,463,65,1020,19.11%,6,483,9.47,72.22%,84.98,0.19,2.20
TE0001,Travis Kelce,2023,514,93,984,22.70%,5,470,6.67,76.86%,74.64,0.24,1.91
TE0004,Evan Engram,2023,620,114,963,23.56%,4,516,5.01,79.72%,49.58,0.23,1.55
TE0002,T.J. Hockenson,2023,509,95,960,23.87%,5,336,7.69,74.80%,62.39,0.25,1.89
TE0062,Sam LaPorta,2023,509,86,889,20.91%,10,358,7.09,71.67%,84.13,0.24,1.75
TE0008,David Njoku,2023,524,81,882,20.60%,6,599,4.60,65.85%,48.61,0.23,1.68
TE0038,Trey McBride,2023,412,81,825,19.63%,3,420,6.15,76.42%,52.52,0.26,2
TE0047,Jake Ferguson,2023,522,71,761,16.86%,5,425,5.04,69.61%,64.86,0.20,1.46
TE0013,Cole Kmet,2023,425,73,719,18.87%,6,290,6.19,81.11%,51.51,0.21,1.69
TE0063,Dalton Kincaid,2023,463,73,673,17.64%,2,315,5.91,80.22%,38.97,0.20,1.45
TE0030,Kyle Pitts,2023,475,53,667,17.72%,3,134,11.43,58.89%,57,0.19,1.40
TE0010,Dalton Schultz,2023,439,59,635,17.19%,5,259,7.60,67.05%,53.03,0.20,1.45
TE0012,Tyler Conklin,2023,472,61,621,15.45%,0,246,6.84,70.11%,26.65,0.18,1.32
TE0007,Dallas Goedert,2023,436,59,592,19.12%,3,319,5.36,71.08%,52.74,0.19,1.36
TE0039,Jonnu Smith,2023,376,50,582,13.78%,3,357,6.54,71.43%,31.48,0.19,1.55
TE0027,Darren Waller,2023,353,52,552,20.56%,1,211,8,70.27%,41.23,0.21,1.56
TE0003,Mark Andrews,2023,280,45,544,21.79%,6,217,7.26,73.77%,41.75,0.22,1.94
TE0020,Chigoziem Okonkwo,2023,402,54,528,16.11%,1,260,6.82,70.13%,28.85,0.19,1.31
