PlayerID,Player_Name,Season,Routes_Run,Receptions,Rec_Yards,Target_Share,Touchdowns,YAC,ADoT,Catch_Pct,Total_EPA,Targets_Per_Route_Run,YPRR,Age,Games_Played,RZ_Rec,RZ_Tgt,RZ_Rec_Pct,RZ_Yds,RZ_Y_R,RZ_TD,RZ_Tgt_Pct,RZ_Rush_Att,RZ_Rush_Yds,RZ_Rush_TD,RZ_Rush_Pct,RZ_FL,RZ_G,RZ_FPTS,RZ_FPTS_G,RZ_Rost_Pct
TE0036,Noah Gray,2024,314,40,437,8.57%,5,210,6.31,81.63%,37.13,0.16,1.39,25,17,9,10,0.9,63,7.0,4,0.263,0,0,0,0.0,0,17,30.3,1.8,0.015
TE0022,Foster Moreau,2024,287,32,413,8.32%,5,158,9.23,74.42%,36.76,0.15,1.44,27,17,5,8,0.625,34,6.8,4,0.5,0,0,0,0.0,0,17,27.4,1.6,0.012
TE0093,Brenton Strange,2024,278,40,411,10.15%,2,183,6.43,75.47%,29.08,0.19,1.48,24,17,2,6,0.333,10,5.0,2,0.462,0,0,0,0.0,0,17,13.0,0.8,0.422
TE0017,Jordan Akins,2024,310,40,390,9.15%,2,177,6.02,68.97%,31.88,0.19,1.26,32,17,1,5,0.2,10,10.0,1,0.238,0,0,0,0.0,0,16,7.0,0.4,0.01
TE0004,Evan Engram,2024,243,47,365,22.70%,1,150,5.63,73.44%,15.50,0.26,1.50,30,9,3,4,0.75,34,11.3,1,0.308,0,0,0,0.0,0,9,9.4,1.0,0.079
TE0094,Ja'Tavion Sanders,2024,313,33,342,9.01%,1,190,6.23,76.74%,18.41,0.14,1.09,21,16,3,5,0.6,13,4.3,1,0.556,0,0,0,0.0,0,16,7.3,0.5,0.011
TE0095,Theo Johnson,2024,368,29,331,11.11%,1,149,6.70,67.44%,20.16,0.12,0.90,23,12,,,,,,,,,,,,,,,,
TE0014,Dawson Knox,2024,296,22,311,6.67%,1,94,9.58,66.67%,22.07,0.11,1.05,,,1,5,0.2,12,12.0,1,0.294,0,0,0,0.0,0,16,7.2,0.5,0.042
TE0091,Grant Calcaterra,2024,291,24,298,7.18%,1,126,7.33,80%,19.46,0.10,1.02,26,17,1,1,1.0,4,4.0,1,0.091,0,0,0,0.0,0,17,6.4,0.4,0.012
TE0033,Colby Parkinson,2024,300,30,294,9.06%,1,160,5.37,61.22%,22.59,0.16,0.98,25,17,2,9,0.222,26,13.0,1,0.529,0,0,0,0.0,0,17,8.6,0.5,0.115
TE0052,Josh Oliver,2024,188,22,258,6.15%,3,129,7.79,78.57%,20.61,0.15,1.37,,,3,3,1.0,21,7.0,3,0.188,0,0,0,0.0,0,15,20.1,1.3,0.006
