PlayerID,Player_Name,Season,Routes_Run,Receptions,Rec_Yards,Target_Share,Touchdowns,YAC,ADoT,Catch_Pct,Total_EPA,Targets_Per_Route_Run,YPRR
TE0153,Zach Davidson,2025,1,0,0,0%,0,0,0,100%,0,0,0
TE0154,Thomas Fidone,2025,11,0,0,0%,0,0,0,100%,0,0,0
TE0098,Nick Vannett,2025,12,0,0,0%,0,0,0,100%,0,0,0
TE0155,Marcedes Lewis,2025,3,0,0,0%,0,0,0,100%,0,0,0
TE0156,E.J. Jenkins,2025,1,0,0,0%,0,0,0,100%,0,0,0
TE0157,Brayden Willis,2025,5,0,0,0.43%,0,0,2,0%,0,0.20,0
TE0158,Hayden Rucci,2025,6,0,0,0%,0,0,0,100%,0,0,0
TE0159,Giovanni Ricci,2025,9,0,0,0.84%,0,0,3,0%,0,0.11,0
TE0160,Teagan Quitoriano,2025,10,0,0,0%,0,0,0,100%,0,0,0
TE0161,Sean McKeon,2025,2,0,0,0%,0,0,0,100%,0,0,0
TE0162,Travis Vokolek,2025,5,0,0,0%,0,0,0,100%,0,0,0
TE0163,Stephen Carlson,2025,5,0,0,0%,0,0,0,100%,0,0,0
